,mae_copy,loss,nmse_train,nmse,mse,mae,lossv,nmse_test,nmsev,msev,maev
100,4.11806725,0.34439668,0.34439668,0.32462452,165.38976729,8.08313152,0.34439668,0.34439668,0.32462453,165.38976884,8.08313151
200,4.13411108,0.19482121,0.19482121,0.19578916,86.10340110,4.94297483,0.19476635,0.19476635,0.19572711,86.09839919,4.94102994
300,4.14713233,0.14031564,0.14031564,0.14631189,58.49574675,3.72403780,0.14027900,0.14027900,0.14627046,58.49240660,3.72273905
400,4.13675540,0.11184044,0.11184044,0.11969987,44.43183996,3.06527815,0.11181294,0.11181294,0.11966877,44.42933276,3.06430328
500,4.13288454,0.09413908,0.09413908,0.10280766,35.88382703,2.64543299,0.09411707,0.09411707,0.10278277,35.88182027,2.64465271
600,4.12431502,0.08197324,0.08197324,0.09100552,30.13420562,2.35084374,0.08195489,0.08195489,0.09098477,30.13253276,2.35019329
700,4.13401205,0.07309563,0.07309563,0.08228610,25.99822795,2.13227683,0.07307990,0.07307990,0.08226831,25.99679373,2.13171916
800,4.13075627,0.06629243,0.06629243,0.07551272,22.87549199,1.96227187,0.06627866,0.06627866,0.07549715,22.87423682,1.96178382
900,4.12981090,0.06095218,0.06095218,0.07017841,20.44118394,1.82755706,0.06092994,0.06092994,0.07015081,20.43923066,1.82668271
1000,4.13290866,0.05658830,0.05658830,0.06578172,18.48328683,1.71596749,0.05656828,0.05656828,0.06575688,18.48152869,1.71518049
1100,4.12956682,0.05294940,0.05294940,0.06204522,16.87334552,1.62269866,0.05293119,0.05293119,0.06202263,16.87174706,1.62198314
1200,4.13608190,0.04986943,0.04986943,0.05887575,15.52744996,1.54153349,0.04985275,0.04985275,0.05885504,15.52598459,1.54087755
1300,4.13771456,0.04721467,0.04721467,0.05610467,14.38402109,1.47233746,0.04719926,0.04719926,0.05608555,14.38266836,1.47173193
1400,4.13931226,0.04490613,0.04490613,0.05366369,13.40133661,1.41104087,0.04489183,0.04489183,0.05364594,13.40008043,1.41047856
1500,4.13472224,0.04289113,0.04289113,0.05154170,12.54776868,1.35704367,0.04287778,0.04287778,0.05152513,12.54659619,1.35651883
1600,4.13255665,0.04124310,0.04124310,0.04988491,11.81560668,1.31284628,0.04123059,0.04123059,0.04986937,11.81450742,1.31235422
1700,4.13340944,0.03968489,0.03968489,0.04823385,11.15549239,1.27063577,0.03967311,0.03967311,0.04821922,11.15445776,1.27017264
1800,4.13057605,0.03827480,0.03827480,0.04672332,10.56642571,1.23262114,0.03826367,0.03826367,0.04670951,10.56544853,1.23218372
1900,4.13150593,0.03698463,0.03698463,0.04533396,10.03726081,1.19709011,0.03697409,0.03697409,0.04532088,10.03633503,1.19667570
2000,4.13214257,0.03581183,0.03581183,0.04406256,9.55969801,1.16512743,0.03580181,0.03580181,0.04405013,9.55881850,1.16473374
2100,4.13389933,0.03472986,0.03472986,0.04288085,9.12687623,1.13502551,0.03471781,0.03471781,0.04286549,9.12586549,1.13452038
