,mae_copy,loss,nmse_train,nmse,mse,mae,lossv,nmse_test,nmsev,msev,maev
100,3.83112904,0.33547036,0.33547036,0.32683875,129.16735386,7.23441098,0.33554413,0.33554413,0.32740955,129.53798829,7.24841255
200,3.84294808,0.18987762,0.18987762,0.19689380,67.27631804,4.44020365,0.18977682,0.18977682,0.19699454,67.44140425,4.44160770
300,3.84007289,0.13675792,0.13675792,0.14700747,45.74075998,3.35622501,0.13668079,0.13668079,0.14706355,45.84888604,3.35675195
400,3.83959881,0.10901177,0.10901177,0.12031931,34.75230299,2.77109713,0.10894522,0.10894522,0.12034727,34.83233157,2.77108195
500,3.82452583,0.09176347,0.09176347,0.10336912,28.07754892,2.39615456,0.09163476,0.09163476,0.10327955,28.13535807,2.39304862
600,3.83247490,0.07995034,0.07995034,0.09155982,23.58597474,2.13402048,0.07981367,0.07981367,0.09143401,23.63203459,2.13018874
700,3.83414201,0.07128700,0.07128700,0.08278429,20.35263551,1.93835220,0.07115627,0.07115627,0.08265738,20.39106294,1.93459529
800,3.83390196,0.06469707,0.06469707,0.07605960,17.92054681,1.78800959,0.06456137,0.06456137,0.07592050,17.95246973,1.78372573
900,3.83323784,0.05947512,0.05947512,0.07065377,16.01795827,1.66737342,0.05934275,0.05934275,0.07051429,16.04561380,1.66316456
1000,3.83450687,0.05522641,0.05522641,0.06623133,14.48835363,1.56716844,0.05510551,0.05510551,0.06610440,14.51306744,1.56328908
1100,3.83306168,0.05167537,0.05167537,0.06245732,13.22934890,1.48348456,0.05155790,0.05155790,0.06232865,13.25145543,1.47962839
1200,3.82960110,0.04865125,0.04865125,0.05922149,12.17404002,1.41012321,0.04853124,0.04853124,0.05908243,12.19353112,1.40600616
1300,3.82904413,0.04605737,0.04605737,0.05642743,11.27987658,1.34713696,0.04594236,0.04594236,0.05629142,11.29766861,1.34312089
1400,3.82646039,0.04386884,0.04386884,0.05410285,10.51663801,1.29337002,0.04375350,0.04375350,0.05396231,10.53263455,1.28925806
1500,3.82483269,0.04193233,0.04193233,0.05203032,9.85091145,1.24589235,0.04182341,0.04182341,0.05189707,9.86572272,1.24197222
1600,3.82824428,0.04020687,0.04020687,0.05013413,9.26622697,1.20344527,0.04009844,0.04009844,0.05000074,9.27978184,1.19948446
1700,3.83038976,0.03865224,0.03865224,0.04840311,8.74694799,1.16405025,0.03854490,0.03854490,0.04826979,8.75942945,1.16006882
